bingoItem,type,listOfMusics
Taylor Swift (2006),Album,"Tim McGraw, Picture To Burn, A Place In This World, Cold As You, The Outside, Stay Beautiful, Should’ve Said No, Mary’s Song (Oh My My My), Our Song, I’m Only Me When I’m With You (2008, Deluxe), Invisible (2008, Deluxe), A Perfectly Good Heart (2008, Deluxe), Teardrops on My Guitar Pop Version (2008), Taylor Swift’s first phone call with Tim McGraw (Deluxe), I Heart ? (Best Buy Digital Download)"
Fearless (2008),Album,"Breathe, Bye Bye Baby, Change, Come In With The Rain, Don't You, Fearless, Fifteen, Forever & Always, Hey Stephen, Jump Then Fall, Love Story, Mr. Perfectly Fine, Superstar, Tell Me Why, That's When, The Best Day, The Other Side of the Door, The Way I Loved You, Today Was a Fairytale, Untouchable, We Were Happy, White Horse, You All Over Me, You Belong With Me, You're Not Sorry"
Speak Now (2010),Album,"Back To December, Better Than Revenge, Castles Crumbling, Dear John, Electric Touch, Enchanted, Foolish One, Haunted, I Can See You, Innocent, Last Kiss, Long Live, Mean, Mine, Never Grow Up, Ours, Sparks Fly, Speak Now, Superman, The Story Of Us, Timeless, When Emma Falls in Love"
Red (2012),Album,"22, All Too Well (10 Minute Version), All Too Well, Babe, Begin Again, Better Man, Come Back...Be Here, Everything Has Changed, Forever Winter, Girl At Home, Holy Ground, I Almost Do, I Bet You Think About Me, I Knew You Were Trouble, Message In A Bottle, Nothing New, Red, Ronan, Run, Sad Beautiful Tragic, Starlight, State of Grace, Stay Stay Stay, The Last Time, The Lucky One, The Moment I Knew, The Very First Night, Treacherous, We Are Never Ever Getting Back Together"
1989 (2014),Album,"All You Had To Do Was Stay, Bad Blood, Blank Space, Clean, How You Get The Girl, I Know Places, Is It Over Now?, I Wish You Would, New Romantics, Now That We Don't Talk, Out Of The Woods, Say Don't Go, Shake It Off, ""Slut!"", Style, Suburban Legends, Sweeter Than Fiction, This Love, Welcome To New York, Wildest Dreams, Wonderland, You Are In Love, Bad Blood (Remix)"
Reputation (2017),Album,"Call It What You Want, Dancing With Our Hands Tied, Delicate, Don't Blame Me, Dress, End Game, Getaway Car, Gorgeous, I Did Something Bad, King of My Heart, Look What You Made Me Do, New Year's Day, So It Goes..., This Is Why We Can't Have Nice Things"
Lover (2019),Album,"Afterglow, Cornelia Street, Cruel Summer, Daylight, Death By A Thousand Cuts, False God, I Forgot That You Existed, I Think He Knows, It's Nice To Have A Friend, London Boy, Lover, ME!, Miss Americana & The Heartbreak Prince, Paper Rings, Soon You'll Get Better, The Archer, The Man, You Need To Calm Down"
Folklore (2020),Album,"august,betty,cardigan,epiphany,exile,hoax,illicit affairs,invisible string,mad woman,mirrorball,my tears ricochet,peace,seven,the 1,the last great american dynasty,this is me trying"
Evermore (2020),Album,"champagne problems, closure, coney island, cowboy like me, dorothea, evermore, gold rush, happiness, ivy, long story short, marjorie, no body, no crime, 'tis the damn season, tolerate it, willow"
Midnights (2022),Album,"Anti-Hero, Bejeweled, Bigger Than The Whole Sky, Dear Reader, Glitch, High Infidelity, Karma, Labyrinth, Lavender Haze, Maroon, Mastermind, Midnight Rain, Paris, Question...?, Snow On The Beach, Sweet Nothing, The Great War, Vigilante Shit, Would've Could've Should've, You're On Your Own Kid"
Joe Jonas (2008),Boyfriend,"Forever & Always, Last Kiss"
Taylor Lautner (2009),Boyfriend,Back to December
John Mayer (2009-2010),Boyfriend,"Dear John, The Story of Us, Haunted, Would've Could've Should've"
Jake Gyllenhaal (2010-2011),Boyfriend,"We Are Never Ever Getting Back Together, The Last Time, All Too Well, State of Grace"
Conor Kennedy (2012),Boyfriend,Begin Again
Harry Styles (2012-2013),Boyfriend,"Style, Out of the Woods, Now That We don't talk, Is it over now?"
Joe Alwyn,Boyfriend,"Delicate, Call It What You Want, ...Ready for It?, Gorgeous, King of My Heart, Dancing With Our Hands Tied, Dress, New Year's Day, London Boy, Cornelia Street"
Green,Colors,"Tim McGraw, Picture To Burn, A Place In This World, Cold As You, The Outside, Stay Beautiful, Should’ve Said No, Mary’s Song (Oh My My My), Our Song, I’m Only Me When I’m With You (2008, Deluxe), Invisible (2008, Deluxe), A Perfectly Good Heart (2008, Deluxe), Teardrops on My Guitar Pop Version (2008), Taylor Swift’s first phone call with Tim McGraw (Deluxe), I Heart ? (Best Buy Digital Download)"
Yellow,Colors,"Breathe, Bye Bye Baby, Change, Come In With The Rain, Don't You, Fearless, Fifteen, Forever & Always, Hey Stephen, Jump Then Fall, Love Story, Mr. Perfectly Fine, Superstar, Tell Me Why, That's When, The Best Day, The Other Side of the Door, The Way I Loved You, Today Was a Fairytale, Untouchable, We Were Happy, White Horse, You All Over Me, You Belong With Me, You're Not Sorry"
Purple,Colors,"Back To December, Better Than Revenge, Castles Crumbling, Dear John, Electric Touch, Enchanted, Foolish One, Haunted, I Can See You, Innocent, Last Kiss, Long Live, Mean, Mine, Never Grow Up, Ours, Sparks Fly, Speak Now, Superman, The Story Of Us, Timeless, When Emma Falls in Love"
Red (2012),Colors,"22, All Too Well (10 Minute Version), All Too Well, Babe, Begin Again, Better Man, Come Back...Be Here, Everything Has Changed, Forever Winter, Girl At Home, Holy Ground, I Almost Do, I Bet You Think About Me, I Knew You Were Trouble, Message In A Bottle, Nothing New, Red, Ronan, Run, Sad Beautiful Tragic, Starlight, State of Grace, Stay Stay Stay, The Last Time, The Lucky One, The Moment I Knew, The Very First Night, Treacherous, We Are Never Ever Getting Back Together"
Blue,Colors,"All You Had To Do Was Stay, Bad Blood, Blank Space, Clean, How You Get The Girl, I Know Places, Is It Over Now?, I Wish You Would, New Romantics, Now That We Don't Talk, Out Of The Woods, Say Don't Go, Shake It Off, ""Slut!"", Style, Suburban Legends, Sweeter Than Fiction, This Love, Welcome To New York, Wildest Dreams, Wonderland, You Are In Love, Bad Blood (Remix)"
Black,Colors,"Call It What You Want, Dancing With Our Hands Tied, Delicate, Don't Blame Me, Dress, End Game, Getaway Car, Gorgeous, I Did Something Bad, King of My Heart, Look What You Made Me Do, New Year's Day, So It Goes..., This Is Why We Can't Have Nice Things"
Pink,Colors,"Afterglow, Cornelia Street, Cruel Summer, Daylight, Death By A Thousand Cuts, False God, I Forgot That You Existed, I Think He Knows, It's Nice To Have A Friend, London Boy, Lover, ME!, Miss Americana & The Heartbreak Prince, Paper Rings, Soon You'll Get Better, The Archer, The Man, You Need To Calm Down"
Gray,Colors,"august,betty,cardigan,epiphany,exile,hoax,illicit affairs,invisible string,mad woman,mirrorball,my tears ricochet,peace,seven,the 1,the last great american dynasty,this is me trying"
Brown,Colors,"champagne problems, closure, coney island, cowboy like me, dorothea, evermore, gold rush, happiness, ivy, long story short, marjorie, no body, no crime, 'tis the damn season, tolerate it, willow"
Dark blue,Colors,"Anti-Hero, Bejeweled, Bigger Than The Whole Sky, Dear Reader, Glitch, High Infidelity, Karma, Labyrinth, Lavender Haze, Maroon, Mastermind, Midnight Rain, Paris, Question...?, Snow On The Beach, Sweet Nothing, The Great War, Vigilante Shit, Would've Could've Should've, You're On Your Own Kid"
Ed Sheeran,Featuring song,"Everything Has Changed, Run, The Joker And The Queen, Endgame"
Bon Iver,Featuring song,"exile, evermore"
Brendon Urie,Featuring song,ME!
The Civil Wars,Featuring song,Safe & Sound
Gary Lightbody,Featuring song,The Last Time
Kendrick Lamar,Featuring song,Badblood
Zayn Malik,Featuring song,I Don`t Wanna Live Forever
HAIM,Featuring song,"No Body No Crime, Gasoline"
The Chicks (formerly known as The Dixie Chicks),Featuring song,Soon You`ll Get Better
Colbie Caillat,Featuring song,Breathe
Keith Urban,Featuring song,That`s When
Maren Morris,Featuring song,You All Over Me
B.o.B,Featuring song,Both of Us
Future,Featuring song,Endgame
Hailey Willians,Featuring song,Castles Crumbling
Fall Out Boy,Featuring song,Eletric Touch
Grammy ,Included in an album who won,"Breathe, Bye Bye Baby, Change, Come In With The Rain, Don't You, Fearless, Fifteen, Forever & Always, Hey Stephen, Jump Then Fall, Love Story, Mr. Perfectly Fine, Superstar, Tell Me Why, That's When, The Best Day, The Other Side of the Door, The Way I Loved You, Today Was a Fairytale, Untouchable, We Were Happy, White Horse, You All Over Me, You Belong With Me, You're Not Sorry
All You Had To Do Was Stay, Bad Blood, Blank Space, Clean, How You Get The Girl, I Know Places, Is It Over Now?, I Wish You Would, New Romantics, Now That We Don't Talk, Out Of The Woods, Say Don't Go, Shake It Off, ""Slut!"", Style, Suburban Legends, Sweeter Than Fiction, This Love, Welcome To New York, Wildest Dreams, Wonderland, You Are In Love, Bad Blood (Remix)
august,betty,cardigan,epiphany,exile,hoax,illicit affairs,invisible string,mad woman,mirrorball,my tears ricochet,peace,seven,the 1,the last great american dynasty,this is me trying
Anti-Hero, Bejeweled, Bigger Than The Whole Sky, Dear Reader, Glitch, High Infidelity, Karma, Labyrinth, Lavender Haze, Maroon, Mastermind, Midnight Rain, Paris, Question...?, Snow On The Beach, Sweet Nothing, The Great War, Vigilante Shit, Would've Could've Should've, You're On Your Own Kid"
Reference to her family and friends,Misc,"Fifteen, The Best Day, 22"
Surprise song on The Era's Tour,Misc,"The Moment I Knew, Dress, So It Goes"
2:00 AM,Misc,"Breathe, All Too Well"
A track from her debut album,Misc,"Tim McGraw, Picture To Burn, A Place In This World, Cold As You, The Outside, Stay Beautiful, Should’ve Said No, Mary’s Song (Oh My My My), Our Song, I’m Only Me When I’m With You (2008, Deluxe), Invisible (2008, Deluxe), A Perfectly Good Heart (2008, Deluxe), Teardrops on My Guitar Pop Version (2008), Taylor Swift’s first phone call with Tim McGraw (Deluxe), I Heart ? (Best Buy Digital Download)"
Lyrics about New York,Songs about...,"Welcome to New York, Cornelia Street, How You Get the Girl"
Mention of a specific time,Songs about...,"Out of the Woods, Treacherous, Wildest Dreams"
Mention of rain,Songs about...,"Come in with the Rain, Forever & Always"
Mention of a car or driving,Songs about...,"Getaway Car, Fearless, Picture to Burn"
Break-up,Songs about...,"We Are Never Ever Getting Back Together, Back to December, All Too Well"
Cheating,Songs about...,"The Other Side of The Door, Picture to Burn"
Fall in love,Songs about...,"Lover, Enchanted, Fearless"